FRASES;ARG1;REL;ARG2;Estrutura ARG1;Estrutura relacionador;Estrutura ARG2;status;;;;;;;;;;;;;;;;;;
Sassou também venceu a seguinte eleição presidencial em julho de 2009.;Sassou também;venceu;a seguinte eleição presidencial em julho de 2009;propN adv;V;Det adj N adj ADP N ADP Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Na constituição russa, o primeiro ministro é na verdade intitulado Presidente do governo, enquanto o primeiro ministro irlandês é chamado Taoiseach (que é traduzido para inglês como primeiro ministro), e em Israel ele é Rosh HaMemshalah, que significa \""chefe do governo\"".""";o primeiro ministro irlandês;é;chamado Taoiseach;Det adj N adj;V;part N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Na constituição russa, o primeiro ministro é na verdade intitulado Presidente do governo, enquanto o primeiro ministro irlandês é chamado Taoiseach (que é traduzido para inglês como primeiro ministro), e em Israel ele é Rosh HaMemshalah, que significa \""chefe do governo\"".""";o primeiro ministro;é;em a verdade intitulado Presidente de o governo;det N adj N;V;ADP det N N N ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O Conselho das Forças Armadas geralmente opera a partir da Sede da Defesa Nacional (NDHQ) em Ottawa, Ontário.;O Conselho de as Forças Armadas;opera;a partir de a Sede de a Defesa Nacional (NDHQ);Det N adj;V;PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O Conselho das Forças Armadas geralmente opera a partir da Sede da Defesa Nacional (NDHQ) em Ottawa, Ontário.;O Conselho de as Forças Armadas;opera a partir de;a Sede de a Defesa Nacional (NDHQ);Det N ADP det N adj;V ADP V ADP;det N ADP det N adj punct pron punct;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O Exército Canadense é chefiado pelo Comandante do Exército Canadense e administrado por quatro divisões - a 2ª Divisão Canadense, a 3ª Divisão Canadense, a 4ª Divisão Canadense e a 5ª Divisão Canadense - o Sistema de Doutrina e Treinamento do Exército Canadense e a Sede do Exército Canadense.;O Exército Canadense;é;chefiado por o Comandante de o Exército Canadense;Det N adj;V;part ADP det N ADP det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O Exército Canadense é chefiado pelo Comandante do Exército Canadense e administrado por quatro divisões - a 2ª Divisão Canadense, a 3ª Divisão Canadense, a 4ª Divisão Canadense e a 5ª Divisão Canadense - o Sistema de Doutrina e Treinamento do Exército Canadense e a Sede do Exército Canadense.;O Exército Canadense;é chefiado por;o Comandante de o Exército Canadense;Det N adj;V part ADP;det N ADP det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Todas as ordens de implantação e disposição de tropas, incluindo declarações de guerra, se enquadram na prerrogativa real e são emitidas como Ordens no Conselho, que devem ser assinadas pelo monarca ou pelo governador geral."": {";Todas as ordens de implantação e disposição de tropas;se enquadram ;em a prerrogativa real;Pron det N ADO N conj N ADP n;V;ADP det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Nos tempos modernos, os cardeais freqüentemente tinham papéis importantes nos assuntos seculares.;os cardeais ;tinham;papéis importantes nos assunto seculares;Det N;V;N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Nos tempos modernos, os cardeais freqüentemente tinham papéis importantes nos assuntos seculares.;os cardeais ;frequentemente tinham;papéis importantes em os assuntos seculares;Det N;adv V;N adj ADP det N adj ;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Nos tempos modernos, os cardeais freqüentemente tinham papéis importantes nos assuntos seculares.;os cardeais frequentemente;tinham;papéis importantes em os assuntos seculares;det N adv;V;N adj ADP det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O Reitor do Colégio de Cardeais, além de uma igreja titular, também recebe o bispado titular de Ostia, a principal sede do subúrbio.;O Reitor do Colégio de Cardeais;recebe ;o bispado titular de Ostia;Det N ADP det N ADP N;V;det N adj ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O Reitor do Colégio de Cardeais, além de uma igreja titular, também recebe o bispado titular de Ostia, a principal sede do subúrbio.;O Reitor do Colégio de Cardeais também;recebe ;o bispado titular de Ostia;Det N ADP det N ADP N adv;V;det N adj ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
 Uma vela de cera produz cerca de 13 lúmens, uma lâmpada incandescente de 60 watts produz cerca de 700 lúmens e uma lâmpada fluorescente compacta de 15 watts produz cerca de 800 lúmens, mas a produção real varia conforme o projeto específico.;Uma vela de cera;produz;cerca de 13 lúmens;Det N ADP N;V;adv Num N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
 Uma vela de cera produz cerca de 13 lúmens, uma lâmpada incandescente de 60 watts produz cerca de 700 lúmens e uma lâmpada fluorescente compacta de 15 watts produz cerca de 800 lúmens, mas a produção real varia conforme o projeto específico.;uma lâmpada incandescente de 60 watts; produz;cerca de 700 lúmens;Det N adj ADP Num N;V;adv Num N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
 Uma vela de cera produz cerca de 13 lúmens, uma lâmpada incandescente de 60 watts produz cerca de 700 lúmens e uma lâmpada fluorescente compacta de 15 watts produz cerca de 800 lúmens, mas a produção real varia conforme o projeto específico.;uma lâmpada fluorescente compacta de 15 watts;produz;cerca de 800 lúmens;det N adj N ADP Num N;V;adv Num N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
 Uma vela de cera produz cerca de 13 lúmens, uma lâmpada incandescente de 60 watts produz cerca de 700 lúmens e uma lâmpada fluorescente compacta de 15 watts produz cerca de 800 lúmens, mas a produção real varia conforme o projeto específico.;a produção real ;varia;conforme o projeto específico.;Det N adj;V;ADP det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A unidade básica de medida do SI é a candela (cd), que descreve a intensidade luminosa, todas as outras unidades fotométricas são derivadas da candela."": {";A unidade básica de medida do SI;é;a candela (cd);Det N adj ADP det N ADP det pron;V;N punct Pron punct;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A unidade básica de medida do SI é a candela (cd), que descreve a intensidade luminosa, todas as outras unidades fotométricas são derivadas da candela."": {";a candela (cd);descreve;a intensidade luminosa;Det N punct pron punct;V;det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A unidade básica de medida do SI é a candela (cd), que descreve a intensidade luminosa, todas as outras unidades fotométricas são derivadas da candela."": {";todas as outras unidade fotométricas;são derivadas de;a candela;pron det pron N adj;V part Pron;det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O Chefe de Justiça preside o Senado durante o julgamento de impeachment de um presidente.;O chefe de justiça;preside;o senado;Det N ADP N;V;det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O Chefe de Justiça preside o Senado durante o julgamento de impeachment de um presidente.;O chefe de justiça;preside;o senado durante o julgamente de impeachment de um presidente;Det N ADP N;V;det N ADP det adv ADP N ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Um exemplo da segunda visão em nível estadual é encontrado na visão do Supremo Tribunal da Flórida, que apenas o Supremo Tribunal da Flórida pode licenciar e regular advogados que comparecem perante os tribunais da Flórida, e somente o Supremo Tribunal da Flórida pode definir regras para procedimentos nos tribunais da Flórida."": {";O supremo tribunal de a flórida ; pode ; licenciar e regular advogados ;Det adj N ADP det PropN;V;V conj v N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Um exemplo da segunda visão em nível estadual é encontrado na visão do Supremo Tribunal da Flórida, que apenas o Supremo Tribunal da Flórida pode licenciar e regular advogados que comparecem perante os tribunais da Flórida, e somente o Supremo Tribunal da Flórida pode definir regras para procedimentos nos tribunais da Flórida."": {";o Supremo tribunal de a Flórida;pode;definir regras para procedimentos em os tribunais de a Flórida;Det adj N det ADP PropN;V;v N ADP N ADP det N ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Um exemplo da segunda visão em nível estadual é encontrado na visão do Supremo Tribunal da Flórida, que apenas o Supremo Tribunal da Flórida pode licenciar e regular advogados que comparecem perante os tribunais da Flórida, e somente o Supremo Tribunal da Flórida pode definir regras para procedimentos nos tribunais da Flórida."": {";Um exemplo de a segunda visão em nível estadual ;é;encontrado em a visão de o Supremo Tribunal de a Flórida;Det N ADP det N N ADP N adj;V;part ADP det N ADP det adj N ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Para satisfazer o ethos contemporâneo, um edifício deve ser construído de uma maneira ambientalmente amigável em termos de produção de seus materiais, seu impacto no ambiente natural e construído da área circundante e as demandas que ele faz sobre fontes de energia não sustentáveis para aquecimento, refrigeração, gerenciamento de água e resíduos e iluminação."": {";Um edifício;  deve;ser construído de maneira ambientalmente amigável ;Det N;V;v part ADP N adv adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Uma estrutura grande não pode mais ser o design de uma pessoa, mas deve ser o trabalho de muitos.;Uma estrutura grande não; pode;mais ser o design de uma pessoa;Det N adj adv;V;adv v det N ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Devido a um excedente na produção, a economia começou a se expandir, resultando em urbanização, criando áreas urbanas que cresceram e evoluíram muito rapidamente em alguns casos, como o de Çatal Höyük na Anatólia e o Mohenjo Daro da civilização do vale do Indo no Paquistão atual."": {";A economia;começou;a se expandir;Det N;V;ADP pron V;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Como uma divisão dentro da BBC, a Televisão era conhecida como BBC Vision por alguns anos no início do século 21, até que seu nome voltou à Televisão em 2013."": {";A televisão;era;conhecida como BBC Vision;Det N;V;part ADP conj Pron N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O professor de direito da Universidade Columbia, Michael Dorf, observou que o possível processo de Schwarzenegger poderia finalmente lhe conceder o direito de concorrer ao cargo, observando \""A lei é muito clara, mas não é 100% claro que os tribunais aplicariam essa lei em vez de deixá-la em liberdade.\"""": {";o possível processo de Schwarzenegger;poderia;finalmente lhe conceder o direito de concorrer ao cargo;Det adj N ADP PropN;V;adv pron v det N ADP v ADP v ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Schwarzenegger conheceu Maria Shriver no torneio de tênis Robert F. Kennedy, em agosto de 1977, e teve um relacionamento com as duas mulheres até agosto de 1978, quando Moray (que conhecia seu relacionamento com Shriver) emitiu um ultimato."": {";Schwarzenegger ;conheceu em;o torneio de tênis Robert F. Kennedy;PropN;V ADP;det N ADP N PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Schwarzenegger conheceu Maria Shriver no torneio de tênis Robert F. Kennedy, em agosto de 1977, e teve um relacionamento com as duas mulheres até agosto de 1978, quando Moray (que conhecia seu relacionamento com Shriver) emitiu um ultimato."": {";Moray;emitiu;um ultimato;PropN;V;det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 1620, os Padres Peregrinos partiram de Plymouth para o Novo Mundo e estabeleceram a Colônia de Plymouth - o segundo assentamento inglês no que é hoje os Estados Unidos da América."": {";Os padres peregrinos;partiram de;Plymouth para o Novo Mundo;Det N adj;V ADP;PropN ADP det adj N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
" Plymouth fica entre o rio Plym, a leste, e o rio Tamar, a oeste; os dois rios correm para o porto natural de Plymouth Sound.";Plymouth;fica;entre o rio Plym, a leste, e o rio Tamar, a oeste;PropN;V;ADP det N propN punct  det N punct conj det N PropN punct det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
" Plymouth fica entre o rio Plym, a leste, e o rio Tamar, a oeste; os dois rios correm para o porto natural de Plymouth Sound.";os dois rios;correm para;o porto natural de Plymouth Sound;Det N N;V ADP;det N adj ADP PropN N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"No entanto, a FlyPlymouth planeja reabrir o aeroporto da cidade até 2018, que fornecerá serviços diários para vários destinos, incluindo Londres."": {";a FlyPlymouth;planeja;reabrir o aeroporto de a cidade até 2018;Det propN;V;V det N ADP det N ADP Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Constantino, o Grande, que junto com Licínio decretou a tolerância ao cristianismo no Império Romano pelo que é comumente chamado de \""Édito de Milão\"", e foi o primeiro imperador romano a ser batizado, estabeleceu precedentes para políticas posteriores."": {";Constantino, o Grande;foi;o primeiro imperador romano a ser batizado;PropN punct det adj;V;det adj N adj det v part;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Como os americanos tinham uma força aérea muito maior que a União Soviética e os Estados Unidos mantinham bases aéreas avançadas perto do território soviético, em 1947 Stalin ordenou o desenvolvimento de mísseis balísticos intercontinentais (ICBMs) para combater a ameaça americana percebida."": {";os americanos;tinham;uma força áerea muito maior que a União Soviética;Det adj;V;det N adj adv adv conj det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Como os americanos tinham uma força aérea muito maior que a União Soviética e os Estados Unidos mantinham bases aéreas avançadas perto do território soviético, em 1947 Stalin ordenou o desenvolvimento de mísseis balísticos intercontinentais (ICBMs) para combater a ameaça americana percebida."": {";os Estados Unidos;mantinham;bases aéreas avançadas perto do território soviético ;det PropN;V;N adj N adv ADP det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A Lei de Licenciamento de 2003, que entrou em vigor em 24 de novembro de 2005, consolidou as muitas leis em uma única lei.;A lei de licenciamento de 2003;entrou em;vigor em 24 de novembro de 2005;Det N ADP det N ADP Num;V;N ADP Num ADP N ADP Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A Lei de Licenciamento de 2003, que entrou em vigor em 24 de novembro de 2005, consolidou as muitas leis em uma única lei.;A lei de licenciamento de 2003;entrou;em vigor em 24 de novembro de 2005;Det N adv ADP Num;V;ADP N ADP Num ADP N ADP Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A Lei de Licenciamento de 2003, que entrou em vigor em 24 de novembro de 2005, consolidou as muitas leis em uma única lei.;A lei de licenciamento de 2003;consolidou ;a muitas leis em uma uma única lei;Det N adv ADP Num;V;det adv N ADP det adj N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Uma torneira de cervejaria é a saída mais próxima para as cervejas de uma cervejaria.;Uma torneira de cervejaria;é;a saída mais próxima para as cervejas de uma cervejaria;Det N ADP N;V;Det N adv adj ADP det N ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A CAMRA mantém um \""Inventário Nacional\"" de notabilidade histórica e de bares arquitetônicos e decorativos.";A CAMRA;mantém;"um \""Inventário Nacional\"" de notabilidade histórica";Det Pron;N;det punct punct N adj punct punct ADP N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O pub mais alto do Reino Unido é o Tan Hill Inn, Yorkshire, a 528 m acima do nível do mar.;O pub mais alto do Reino Unido;é;o Tan Hill Inn;Det adv adj adv det ADP N det ADP N;V;det N ;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Segundo uma pesquisa do Pew Research Center de 2011, havia 2,2 bilhões de cristãos em todo o mundo em 2010, contra cerca de 600 milhões em 1910.;Segundo uma pesquisa de o Pew Research Center de 2011;havia;2,2 bilhões de cristãos em todo o mundo em 2010;ADP det N ADP det N det Num;V;Num punct Num N det adj ADP  N det N ADP Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O executivo da RCA Victor Records, Ted Wallerstein, convenceu o chefe da CBS William S. Paley a comprar a ARC e Paley fez de Wallerstein o chefe da recém-adquirida gravadora."": {";O executivo de a RCA victor records;convenceu;o chefe de a CSB William S. Paley a comprar a ARC;Det N ADP det Prop PropN;V;det N ADP det Pron PropN pron punct PropN det v det pron;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Ele se juntou a L.A. Reid, que se tornou presidente e CEO da Epic Records.;L.A Reid;se tornou;presidente e CEO de a Epic Records;PropN;pron V;N conj pron ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Peter Edge tornou-se o novo CEO da unidade RCA Records.;Peter Edge;tornou-se;o novo CEO da unidade RCA Recods;PropN;V Pron;det adj Pron ADP det N Pront N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A ABC vendeu sua divisão de discos para a MCA Records em 1979 e, em 1986, a empresa controladora da NBC, RCA, foi vendida para a General Electric, que depois vendeu todas as outras unidades da RCA, incluindo a divisão de discos (que foi comprada pela Ariola Records, mais tarde conhecida como BMG).;A ABC; vendeu ;sua divisão de discos para a MCA Records;Det Pron;V;Poss N ADP N ADP det pron N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A Universidade Nazarena do Sul, fundada pela Igreja do Nazareno, é uma universidade localizada no subúrbio de Betânia, cercada pelos limites da cidade de Oklahoma City."": {";A universidade nazarena do sul;é;uma universidade localizada em o subúrbio de Betânia;Det N adj ADP det ADP N;V;det N v ADP det N ADP PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Oklahoma City é o lar do maior distrito escolar do estado, as Escolas Públicas de Oklahoma City.;Oklahoma City; é ;o lar de o maior distrito escolar de o estado;Det adj N N ADP det PropN;V;det N ADP det adv N adj ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O Oklahoman é o principal jornal diário da cidade de Oklahoma e é o mais amplamente divulgado no estado.;O Oklahoman;é;o principal jornal diário de a cidade de Oklahome;Det adv adj ADP det N ADP det PropN;V;det adj N adj ADP det N ADP PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A Rádio WKY de Oklahoma City foi a primeira estação de rádio a transmitir a oeste do rio Mississippi e a terceira estação de rádio nos Estados Unidos.;A Rádio WKY de Oklahoma City;foi;a primeira estação de rádio a transmitir a oeste de o rio Mississippi;Det N Pron ADP PropN N;;det adj N ADP N det v det ADP N  ADP det N PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Oklahoma City é servida por dois aeroportos principais, o Will Rogers World Airport e o muito menor Wiley Post Airport (aliás, os dois homenageados morreram no mesmo acidente de avião no Alasca) Will Rogers World Airport é o aeroporto comercial mais movimentado do estado, com mais de 3,6 milhões passageiros anualmente."": {";Oklahoma City; é;servida por dois aeroportos principais;PropN N;V;part ADP det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Oklahoma City é servida por dois aeroportos principais, o Will Rogers World Airport e o muito menor Wiley Post Airport (aliás, os dois homenageados morreram no mesmo acidente de avião no Alasca) Will Rogers World Airport é o aeroporto comercial mais movimentado do estado, com mais de 3,6 milhões passageiros anualmente."": {";Will Rogers World Airport;é ;o aeroporto comercial mais movimentado do mundo ;PropN N N;V;det N adj adv adj ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Oklahoma City é o lar de várias equipes de esportes profissionais, incluindo o Oklahoma City Trovão da National Basketball Association."": {";Oklahoma City;é;o lar de várias equipes de esportes profissionais;ADP PropN N;V;Det N ADP Det N ADP N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Após uma chegada sem brilho a Oklahoma City para a temporada 2008-09, o Oklahoma City Thunder garantiu uma vaga (8ª) nos Playoffs da NBA de 2010 no ano seguinte, depois de se vangloriar de sua primeira temporada de 50 vitórias, vencendo dois jogos no primeiro turno contra o Los Angeles Lakers."": {";o Oklahoma City Thunder ;garantiu;uma vaga (8ª) em os Playoffs de a NBA de 2010;Det PropN N N;V;det N punct Num punct punct ADP det N ADP det Pron det Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Draper do Lago Stanley é o maior e mais remoto lago da cidade.;Draper de o lago Stanley;é;o maior e mais remoto lago de a cidade;N ADP det N PropN;V;det adv conj adv adj N ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A Faculdade Comunitária de Oklahoma City, no sul de Oklahoma City, é a segunda maior faculdade comunitária do estado."":";A Faculdade Comunitária de Oklahoma City;é;a segunda maior faculdade comunitária de o estado;Det N adj ADP PropN N;V;det N adv N adj ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O UNFPA trabalha em parceria com os governos, juntamente com outras agências das Nações Unidas, comunidades, ONGs, fundações e setor privado, para aumentar a conscientização e mobilizar o apoio e os recursos necessários para cumprir sua missão de promover os direitos e a saúde das mulheres e jovens."": {";O unfpa;trabalha;em parceria os governos;Det Pron;V;Det N det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 25 de janeiro de 1918, a terceira reunião do Congresso Soviético de Toda a Rússia renomeou o estado não reconhecido de República Soviética da Rússia."": {";a terceira reunião de o Congresso soviético de toda a rússia; renomeou ;o estado não reconhecido de a República Soviética de a Rússia;N adj ADP Pron det PropN;V;det N adv v ADP det N adj ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 30 de dezembro de 1922, o Primeiro Congresso dos Sovietes da URSS aprovou o Tratado sobre a Criação da URSS, pelo qual a Rússia se uniu à República Socialista Soviética da Ucrânia, República Socialista Soviética da Bielorrússia e República Socialista Federal Soviética da Transcaucásia."": {";Primeiro congresso dos sovietes da urss ;aprovou; o Tratado sobre a Criação da URSS;Adj N ADP det adj ADP det Pron;V;Det N ADP det N ADP det pron;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A Universal possuía os direitos do personagem \""Oswald, o Coelho da Sorte\"", embora Walt Disney e Ub Iwerks tivessem criado Oswald, e seus filmes tivessem desfrutado de uma exibição teatral de sucesso."": {";Universal;possuía;"\""Oswald, o Coelho de a Sorte\""";PropN;V;punct punct PropN punct det N ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A cantora adolescente Deanna Durbin estrelou o primeiro filme americano de Pasternak, Three Smart Girls (1936).;Deanna durbin;estrelou;o primeiro filme americano de Pasternak;PropN;V;det adj N adj ADP PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Na esperança de construir um império de entretenimento em torno da Universal, a Seagram comprou a PolyGram em 1999 e outras propriedades de entretenimento, mas os lucros flutuantes característicos de Hollywood não substituíram o fluxo de renda confiável obtido com as ações anteriormente detidas na DuPont."": {";A seagram;comprou;PolyGram em 1999;Det PropN;V;ADP Num PropN ADP Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Posteriormente, a Universal Pictures adquiriu os direitos de distribuição nos Estados Unidos de vários filmes do StudioCanal, como Mulholland Drive (que recebeu uma indicação ao Oscar) e Brotherhood of the Wolf (que se tornou o segundo filme em francês de maior bilheteria nos Estados Unidos desde 1980)."": {";a universal Pictures;adquiriu;os direitos de distribuição em os Estados Unidos;PropN;V;Det N ADP N ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O mais sério, Tudo tranquilo na frente ocidental (1930), ganhou o Oscar de Melhor Filme do ano.;Tudo tranquilo na frente ocidental (1930);ganhou ;Det Oscar de Melhor Filme de o ano;Pron adj ADP det N adj punct Num punct;V ;Det N ADP adj N ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Alexander Bell nasceu em Edimburgo, Escócia, em 3 de março de 1847.;Alexander Bell; nasceu ;em Edimburgo;PropN;V;Det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 1865, quando a família Bell se mudou para Londres, Bell retornou a Weston House como assistente de mestre e, em suas horas vagas, continuou as experiências sonoras com o mínimo de equipamento de laboratório."": {";Bell; retornou ;a Weston House;PropN;V;Det PropN N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"No entanto, em maio de 1870, Melville morreu de complicações devido à tuberculose, causando uma crise familiar."": {";Melville  ; morreu;de complicações devido a a tuberculosa;PropN;V;ADP N N ADP det adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Depois que a família se estabeleceu, Bell e seu pai fizeram planos para estabelecer uma prática de ensino e, em 1871, ele acompanhou seu pai a Montreal, onde foi oferecido a Melville uma posição para ensinar seu Sistema de Fala Visível."": {";Bell e seu pai;fizeram;planos para estabelecer uma prática de ensino;PropN conj poss N;V;N ADP v det det N ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 10 de novembro de 2014, o presidente Barack Obama recomendou que a FCC reclassificasse o serviço de Internet de banda larga como um serviço de telecomunicações, a fim de preservar a neutralidade da rede."": {";o presidente Barack Obama;recomendou ;que a FCC reclassificasse o serviço de Internet de banda larga ;Det N PropN;V;conj det Pron v det N ADP N ADP N N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 26 de fevereiro de 2015, a FCC decidiu a favor da neutralidade da rede, adotando o Título II (operadora comum) da Lei de Comunicações de 1934 e a Seção 706 da Lei de Telecomunicações de 1996 na Internet."": {";A FCC;decidiu;a favor de a neutralidade de a rede;Det Pron;V;Det N ADP det N ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Ao sair da Universidade de Oxford, em 1676, Edmond Halley visitou Santa Helena e montou um observatório astronômico com um telescópio aéreo de 7,3 metros de comprimento com a intenção de estudar estrelas do Hemisfério Sul."": {";Edmond halley;visitou;Santa Helena e montou um observatório astronômico;PropN;V;PropN conj v det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Em 11 de abril de 1898, o americano Joshua Slocum, em seu famoso e épico solo, a viagem mundial chegou a Jamestown.;Joshua Slocum;chegou;a Jamestown ;PropN;V;ADP PropN ;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Ele partiu em 20 de abril de 1898 para que a etapa final de sua circunavegação tivesse recebido uma hospitalidade prolongada do governador, sua Excelência Sir R A Standale, apresentou duas palestras sobre sua viagem e foi convidado a Longwood pelo agente consular francês."": {";Sir r a standale;apresentou ;duas palestras sobre sua viagem;Pron PropN;V;N N ADP poss N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 1989, o príncipe Andrew lançou o substituto RMS St Helena para servir a ilha; o navio foi construído especialmente para a rota Cardiff – Cidade do Cabo e apresenta um layout misto de carga / passageiro."": {";Príncipe andrew;lançou; o substituto RMS St Helena;N PropN;V;Det Prop Prop PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O porto mais próximo do continente é o Namibe, no sul de Angola, e o aeroporto internacional mais próximo é o Aeroporto Quatro de Fevereiro, capital de Angola, Luanda; as conexões com a Cidade do Cabo, na África do Sul, são usadas para a maioria das necessidades de remessa, como o barco de correio que serve a ilha, o RMS St Helena."": {";Príncipe andrew;é;Namibe, em o sul de Angola;PropN;V;PropN punct ADP det N ADP PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
